,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
percPanden_30Regel_AHN3_BK,0.9960912772248188,0.061282957397194915,0.022743486774024355,0.03215059187782489,0.025421286595991997,-0.008688689002088367,0.009150729382701403,-0.007146103588448428,-0.0269931336487679,0.006843059818218205
percPanden_30Regel_AHN4_BK,0.996081171753115,0.06120186570601063,0.022730843287271138,0.0324694587938686,0.025445574749053894,-0.008666843571814067,0.00913856607651203,-0.0070664897471807925,-0.027033450031497753,0.007044150571367564
percPanden_30Regel_AHN5_BK,0.9960805794877219,0.06118088505417619,0.022727216645796536,0.03255502373200459,0.025448554754876528,-0.008687281609585772,0.009193217458641541,-0.007059170862826701,-0.02698256132951785,0.007066350655854315
percPanden_tusen10en30Regel_AHN3_BK,0.10620700411124681,0.2839325985543967,-0.07860861024418897,0.5954040257274535,-0.005533942750184604,0.07177748340846545,0.15781125436043797,-0.27719083833966784,-0.0027126899578640705,-0.26996626788336725
percPanden_tusen10en30Regel_AHN4_BK,0.11726696999147894,0.3014917907882433,-0.08539817310470224,0.5930649535759698,-0.018281509489598436,0.0975233028074126,0.16547779309188088,-0.2688551552164104,0.0118812601510277,-0.2964944954407571
percPanden_tusen10en30Regel_AHN5_BK,0.1155583808781012,0.32843551452678776,-0.08182032446384979,0.5660770982581185,-0.029691750907454562,0.052772620074397626,0.17486625641533193,-0.2814582560629936,0.031223066891064417,-0.2847850035793969
gemScore_BKB_perPand_AHN3_BK,0.9960439800387164,0.06204901980392938,0.022776758340311003,0.03247127257961326,0.025726021725501903,-0.009018252876684953,0.009795114245897994,-0.007797224452321785,-0.026914364138409464,0.005028311569211821
gemScore_BKB_perPand_AHN4_BK,0.9960367806198431,0.06206326354595776,0.022775330526945945,0.03262854017854114,0.025752902419830966,-0.008983199013026279,0.009792021227020747,-0.007817917281967924,-0.02692631811501639,0.0050847341773018724
gemScore_BKB_perPand_AHN5_BK,0.9960346939611511,0.06208312842524701,0.022776816862853183,0.032656735855271575,0.025752957691457516,-0.009004728164280168,0.00982591268267926,-0.007859400496832813,-0.026888131871005437,0.005074116847932431
SHDTot_percLand_AHN3_BK,0.9960621447219044,0.062068502411942617,0.022879160515826714,0.032792309172573725,0.025629971299961106,-0.0093084981154702,0.00919429938008121,-0.006701377066209929,-0.02692032916000572,0.004187346917328526
SHDTot_percLand_AHN4_BK,0.9960814634237842,0.0619952060195576,0.022837270725960836,0.03275181749232952,0.02542958214365297,-0.00922070255606923,0.009208429008443151,-0.0067391021549076694,-0.026845482072391052,0.004328039945874769
SHDTot_percLand_AHN5_BK,0.9960794270176392,0.06206354779805093,0.022849885918874345,0.03273584239546299,0.02546416764483829,-0.00913607199583095,0.009288119754450644,-0.0069728926175506405,-0.026674326826097883,0.0042132070071621685
SHDTot_Op_percOp_AHN3_BK,0.9960427461709427,0.0619284348417358,0.022782807557604114,0.0338174074889566,0.025646948701597345,-0.008503571068700519,0.009055763992418147,-0.006531412197420827,-0.02722052936674007,0.003825429563603391
SHDTot_Op_percOp_AHN4_BK,0.9960512617833576,0.06181663912922737,0.022793249516409545,0.03380083947318648,0.025669067292070757,-0.00848608205786672,0.009062077751519472,-0.006628706685723705,-0.027157402215333633,0.003773707033395283
SHDTot_Op_percOp_AHN5_BK,0.9960475816139563,0.06201094818423679,0.022810945812128544,0.03364005161624796,0.025699300397292794,-0.008454581558625919,0.009190018627350777,-0.006728509916633645,-0.026989838606130707,0.003738547901384069
SHDTot_NO_percNO_AHN3_BK,0.9959694152318171,0.06331374687719726,0.022924240500970562,0.03235331112847949,0.025904958689320533,-0.009742744708158592,0.009111456794096386,-0.0063287727200046,-0.02694141221067756,0.003942713470615187
SHDTot_NO_percNO_AHN4_BK,0.9959891312615766,0.06325449580701416,0.022895893845368567,0.03219578537892518,0.025676265971470543,-0.009667499800643003,0.009097796261245222,-0.006377542018983967,-0.026904293192790005,0.004206848983552703
SHDTot_NO_percNO_AHN5_BK,0.9959910898196251,0.06325139368418115,0.022883949848362516,0.032227433681559135,0.025754531081630817,-0.009610289561609689,0.009166176959340685,-0.006617246276192172,-0.026738128471957764,0.004035842701360593
SHDGrijs_percLand_AHN3_BK,0.9960376146583969,0.06305224906603668,0.02283156900623227,0.030572714704475677,0.025873440965069102,-0.009744907319988885,0.009764079312283559,-0.006739189225903201,-0.026828275504464646,0.0044063750946514695
SHDGrijs_percLand_AHN4_BK,0.9960349658695595,0.06309692502829918,0.02282868409630968,0.030532953238883727,0.02591317376314028,-0.009753344927918062,0.00977402290037585,-0.0067588771362502645,-0.02682892605671215,0.004437741296685266
