Buurtcode,score,thema,methode,thema_kort
BU00802003,0.3093115394949057,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00802004,0.1988438541924831,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00802005,0.30677086008744325,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00802006,0.40335417950016106,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00802007,0.4126110101297683,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00802008,0.35507877449591285,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00802009,0.3972079853636703,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008030,0.38389921286357626,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803001,0.2489208091929496,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803002,0.10383748149592562,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803003,0.6466163124394091,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803004,0.24126117568630553,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803005,0.30949494340579875,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803006,0.5868473734643183,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803007,0.11736740185847679,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008031,0.20717538195464383,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803101,0.2064136024333354,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803102,0.1336734258319095,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008032,0.2502334745956709,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803201,0.1929205478267764,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803202,0.16929401183716578,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803203,0.44652335923213543,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00803204,0.6202903329931104,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008040,0.2696056330398165,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804001,0.3205693021347227,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804002,0.10423660033262605,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804003,0.07895695467672106,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804004,0.4530124417636931,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008041,0.5119958507851615,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804101,0.5112340712638531,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804102,0.1219664891477607,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804103,0.1174715321431716,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804104,0.12310829383587474,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804105,0.13913506836883457,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804106,0.11959295706682314,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804107,0.11638414861184306,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804108,0.11638414861184306,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804109,0.11599816549426359,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00804110,0.14219339411745469,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008050,0.5832269572170703,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00805001,0.6270923362766139,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00805002,0.540647308470984,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00805003,0.23501898019806833,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008051,0.19805465960666693,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00805101,0.2120370418715515,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00805102,0.257955845527964,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00805103,0.0856816016178627,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00805104,0.15018397818338908,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00805105,0.13161668607043991,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008060,0.4943719476131929,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806001,0.518205404380384,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806002,0.0466778655839143,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806003,0.42810705684631706,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008061,0.5113240648048588,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806101,0.46794994563524817,Woningmarkt_Eigendom,entropy,Woningmarkt
